# Leyenda: - = no aplica
# X = no encontrado
# L = encontrado, pero en ranking bajísimo
#Id	pos_sin_artista	pos_un_artista	pos_varios_artistas	pos_un_escritor	pos_varios_escritores	pos_combinado_simple	pos_combinado_todo	comentario?
29261947	1	X	-	X	-	X	-	Ocurre que todo bien, pero el Baeremboin este no aparece nunca y lo debi de dar por bueno y encontrado igual. Mozart sí aparece, pero siempre como artista en lugar de compositor
13129130	L	1	-	-	-	-	-
34136753	X	X	X	X	-	X	X	EL nombre que tiene esta canción en discogs está repartido entre el puro nombre de la release y una de las canciones dentro de la release. por ello, MERA caza, discogs no caza..... boom! (creo)
31436364	L	1	-	X	X	X	X	En la canción de Peter Alexander no salen los autores reconocidos... con lo que booom ba blash! Peta. Da resultados de esa canción, porque los escritores son esos, pero cantados por otras personas
6832795 	L	1	-	-	-	-	-
41097869	1	1	X	-	-	-	-
6674971 	1	1	-	-	-	-	-
30408893	L	1	1	-	-	-	-
17128191	1	1	-	1	-	1	-
39564906	L	1	X	-	-	-	-	Encuentra una combinación de featuring con dos de los artistas.
31466014	L	1	-	-	-	-	-
5506501 	L	1	-	-	-	-	-
7997426 	2	1	-	-	-	-	-
30137913	X	X	-	-	-	-	-	Lo del (Album version) lo destroza. Buenísimo caso!
8778365 	L	1	-	-	-	-	-
28765200	L	1	-	-	-	-	-
7477862 	2	1	-	-	-	-	-
7297869 	2	1	-	-	-	-	-
